TotalComp,WideIndustry,Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,Ugdate,Age ofUnder,Graduate,GradDegree,MBA,MasterPHd,G_date,AgeofGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,,
705255,Utility,American Electric Po,Dr. E LinnDraper Jr,Houston,TX,52,Rice U,BA,64,22,Cornell,PhD,0,1,70,28,2,1,538333,148742,18180,,,0.001,5269,353.8,11,Electric utilities-north central,19,538.333
645880,Utility,Detroit Edison,Mr. John E Lobbia,Chicago,IL,52,U of Detroit,BSE,64,22,,none,0,0,,,30,4,501250,124060,20570,,2432180,0.007,3555,521.9,15,Electric utilities-north central,19,501.25
976510,Utility,Northern States Powe,Mr. James J Howard,Pittsburgh,PA,58,U of Pittsburgh,BBA,57,21,MIT,MS,0,1,70,34,7,7,511300,231931,233279,,3788150,0.03,2404,211.7,12,Electric utilities-north central,19,511.3
434984,Utility,Delmarva PowerLigh,Mr. Howard E Cosgrove,Philadelphia,PA,51,U of Virginia,BS,66,23,U of Delaware,MBA,1,1,70,27,28,2,320000,86400,28584,,,0.017,971,111.1,11,Electric utilities-northeast,19,320
877840,Utility,Boston Edison,Mr. Bernard W Reznicek,Dodge,NE,57,Creighton U,BS,58,21,U of Nebraska L,MBA,1,1,79,42,7,3,435000,283500,159340,,3045650,0.027,1482,118.2,19,Electric utilities-northeast,19,435
669135,Utility,Public Service Enter,Mr. E JamesFerland,Boston,MA,52,U of Maine,BS,64,22,U of New Haven,MBA,1,1,76,34,8,8,622606,,36079,10450,4049470,0.014,5706,595.5,10,Electric utilities-northeast,19,622.606
713490,Utility,New England Electric,Mr. John W Rowe,Dodgeville,WI,49,U of Wisc Madis,BS,67,22,U of Wisc Madis,JD,0,1,70,25,5,5,433908,268323,11259,,3309190,0.031,2234,190.2,17,Electric utilities-northeast,19,433.908
770244,Utility,General Public Utili,Mr. James R Leva,Boonton,NJ,62,Fairleigh Dicki,BSE,60,28,Seton Hall C,JD,0,1,80,48,42,2,523750,189000,57494,,1769460,0.003,3596,295.7,15,Electric utilities-northeast,19,523.75
415552,Utility,New York State Elect,Mr. James A Carrigg,Johnson City,NY,61,Broome Comm,AAS,58,25,,none,0,0,,,36,6,413123,,2429,,1941690,0.014,1800,166,11,Electric utilities-northeast,19,413.123
983484,Utility,Potomac Electric Pow,Mr. Edward F Mitchell,Harrisonburg,VA,62,U of Virginia,BSE,56,24,George Washingt,MEA,0,1,60,28,38,5,540000,218700,224784,,3356800,0.041,1702,241.6,9,Electric utilities-northeast,19,540
902783,Utility,Consolidated Edison,Mr. Eugene R McGrath,New York,NY,52,Manhattan C,BSM,63,21,Iona C,MBA,1,1,80,38,31,4,551667,253500,97616,,3144590,0.005,6265,658.5,12,Electric utilities-northeast,19,551.667
397721,Utility,Atlantic Energy,Mr. Jerrold L Jacobs,Brooklyn,NY,55,NJ Tech,BSE,61,22,,none,0,0,,,33,1,284670,70400,42651,,,0.022,866,95.3,12,Electric utilities-northeast,19,284.67
457096,Utility,Pennsylvania Power,Mr. William F Hecht,New York,NY,51,Lehigh U,BS,64,21,Lehigh U,MS,0,1,70,27,30,1,375000,45000,37096,,,0.008,2727,348.1,13,Electric utilities-northeast,19,375
586889,Utility,Allegheny Power Syst,Mr. KlausBergman,Germany,,63,Columbia,AB,53,22,Columbia,LLB,0,1,55,24,22,9,460000,80000,46889,,2556480,0.008,2332,215.8,13,Electric utilities-northeast,19,460
623683,Utility,Niagara Mohawk Power,Mr. William E Davis,Schenevus,NY,52,US Naval Acad,BS,64,22,George Washingt,MSA,0,1,70,28,4,1,394045,40632,189006,,,0.001,3933,271.8,11,Electric utilities-northeast,19,394.045
775403,Utility,Northeast Utilities,Mr. Bernard M Fox,New York,NY,51,Manhattan C,BSE,63,20,Rensselaer,MSEE,0,1,64,21,30,1,478775,180780,115848,,,0.013,3629,198.3,14,Electric utilities-northeast,19,478.775
551823,Utility,Long Island Lighting,Dr. William J Catacosinos,New York,NY,64,NYU,BS,51,21,NYU,PhD,0,1,62,32,15,10,534370,,17453,,2630490,0.008,2881,296.6,15,Electric utilities-northeast,19,534.37
626377,Utility,Baltimore GasElect,Mr. Christian H Poindexte,Evansville,IN,55,US Naval Acad,BS,60,21,Loyola U,MBA,1,1,75,36,27,1,465533,124000,36844,,,0.05,2669,309.9,11,Electric utilities-northeast,19,465.533
1595600,Utility,PECO Energy,Mr. Joseph F Paquette Jr,Norwood,MA,59,Yale,BS,56,21,,none,0,0,,,38,6,425534,403262,,766800,4852080,0.013,3988,590.6,14,Electric utilities-northeast,19,425.534
2239950,Utility,Houston Industries,Mr. Don D Jordan,Corp Christi,TX,62,U of Texas Aust,BBA,54,22,S Texas Col of,JD,0,1,69,37,38,17,829500,,1410450,,6749680,0.047,4324,416,13,Electric utilities-south central,19,829.5
1298700,Utility,Texas Utilities,Mr. Jerry S Farrington,Burkburnett,TX,59,U of North Texa,BBA,55,20,U of North Texa,MBA,1,1,58,23,37,7,743750,125000,429949,,4534830,0.007,5435,368.7,15,Electric utilities-south central,19,743.75
755219,Utility,CentralSouth West,Mr. E RBrooks,Slaton,TX,56,Texas Tech U,BSE,61,23,,none,0,0,,,33,3,549167,57265,148787,,2727180,0.027,3687,262,17,Electric utilities-south central,19,549.167
421197,Utility,Southwestern Public,Mr. Bill D Helton,Wheeler,TX,55,Texas Tech U,BSE,64,25,,none,0,0,,,30,4,263333,75674,82190,,1401880,0.027,826,104.5,10,Electric utilities-south central,19,263.333
579784,Utility,Oklahoma GasElectr,Mr. James G Harlow Jr,Oklahoma City,OK,59,U of Oklahoma,BS,57,22,,none,0,0,,,33,18,500000,,79784,,2744340,0.107,1447,114.3,8,Electric utilities-south central,19,500
1328000,Utility,Entergy,Mr. EdwinLupberger,Atlanta,GA,57,Davidson C,AB,58,21,Emory U,MBA,1,1,63,26,15,8,542077,437610,301597,46717,4708380,0.013,4485,458.1,19,Electric utilities-south central,19,542.077
777372,Utility,Carolina PowerLigh,Mr. Sherwood H Smith Jr,Jacksonville,FL,59,U of North Caro,AB,56,21,U of North Caro,JD,0,1,60,25,29,15,567000,150000,60372,,3117900,0.037,2895,346.5,14,Electric utilities-southeast,19,567
737574,Utility,Dominion Resources,Mr. Thos E Capps,Wilmington,NC,58,U of North Caro,BA,58,22,U of North Caro,JD,0,1,65,29,10,4,534100,187066,16408,,2819640,0.035,4434,516.6,15,Electric utilities-southeast,19,534.1
1084900,Utility,Florida Progress,Dr. Jack B Critchfield,Rockwood,PA,61,Slippery Rock U,BS,55,22,U of Pittsburgh,MA,0,1,60,27,11,4,585186,396500,103210,,3074460,0.01,2449,195.8,13,Electric utilities-southeast,19,585.186
916567,Utility,Scana,Mr. Lawrence M Gressette,St Matthews,SC,62,Clemson U,BS,54,22,U of S Carolina,LLB,0,1,59,27,11,4,383557,186615,346395,,2802330,0.032,1264,168,16,Electric utilities-southeast,19,383.557
617101,Utility,Duke Power,Mr. William H Grigg,Shelby,NC,61,Duke U,AB,54,21,Duke U,LLB,0,1,58,25,31,1,411500,,205601,,,0.017,4282,626.4,16,Electric utilities-southeast,19,411.5
2064270,Utility,FPL Group,Mr. James L Broadhead,New Rochelle,NY,58,Cornell,BSM,58,22,Columbia,JD,0,1,63,27,5,5,765900,581318,717052,,7151980,0.069,5316,428.7,10,Electric utilities-southeast,19,765.9
1279980,Utility,Southern Co,Mr. Edward L Addison,Cottageville,SC,64,U of S Carolina,BEE,50,20,,none,0,0,,,40,11,734714,148118,397150,,5230240,0.012,8489,1002,18,Electric utilities-southeast,19,734.714
1023520,Utility,TECO Energy,Mr. Timothy L Guzzle,Ottumwa,IA,57,U of Oklahoma,BS,58,21,Texas Christian,PhD,0,1,65,28,6,5,443750,194000,28267,357500,4261430,0.02,1284,150.3,17,Electric utilities-southeast,19,443.75
588929,Utility,KU Energy,Mr. John T Newton,Shelbyville,KY,63,Western Kentuck,BS,52,21,,none,0,0,,,36,7,424237,144362,20330,,2322110,0.069,607,80,14,Electric utilities-southeast,19,424.237
1271950,Utility,LGE Energy,Mr. Roger W Hale,Baltimore,MD,50,U of Maryland,BA,65,21,MIT,MS,0,1,79,35,5,5,385000,261800,625145,,3946640,0.052,900,88.3,19,Electric utilities-southeast,19,385
1425050,Utility,San Diego GasElect,Mr. Thomas A Page,Niagara Falls,NY,61,Purdue U,BS,55,22,Purdue U,MBA,1,1,63,30,16,13,509203,337000,578848,,5789250,0.129,1980,218.7,10,Electric utilities-western,19,509.203
575320,Utility,Hawaiian Electric In,Mr. Robert F Clarke,Oakland,CA,52,U of Cal Berkel,BA,65,23,U of Cal Berkel,MBA,1,1,66,24,7,3,403800,160578,10942,,1989900,0.04,1142,48.7,8,Electric utilities-western,19,403.8
1110120,Utility,SCEcorp,Mr. John E Bryson,New York,NY,50,Stanford U,BA,65,21,Yale,JD,0,1,69,25,10,4,600000,325000,185118,,3800110,0.001,7821,639,8,Electric utilities-western,19,600
1255470,Utility,Washington Water Pow,Mr. Paul A Redmond,Lakeview,OR,57,Gonzaga U,BS,65,28,,none,0,0,,,29,10,484167,286815,484486,,3081380,0.075,641,82.8,14,Electric utilities-western,19,484.167
280396,Utility,Montana Power,Mr. Daniel T Berube,Boston,MA,60,U of Washington,BS,64,30,Montana C,MS,0,1,71,37,30,2,274100,,6296,,841619,0.023,1076,107.2,14,Electric utilities-western,19,274.1
525688,Utility,Public Service Co of,Mr. Delwin D Hock,Colorado Spring,CO,59,U of Colorado,BS,56,21,,none,0,0,,,32,6,425012,79300,21376,,2097560,0.033,1999,157.4,16,Electric utilities-western,19,425.012
1236750,Utility,Pacific GasElectri,Mr. Richard A Clarke,San Francisco,CA,64,U of Cal Berkel,AB,52,22,U of Cal Berkel,JD,0,1,55,25,39,8,640000,143070,453676,,6387140,0.006,10582,1065.5,17,Electric utilities-western,19,640
756199,Utility,PacifiCorp,Dr. Frederick W Buckman,Kalamazoo,MI,48,U of Michigan,BS,66,20,MIT,PhD,0,1,70,24,1,1,504116,252083,,,,0.014,3412,475.1,7,Electric utilities-western,19,504.116
324434,Utility,Idaho Power,Mr. Joseph W Marshall,Twin Falls,ID,55,US Naval Acad,BS,61,22,,none,0,0,,,25,5,315000,,9434,,1314130,0.04,540,84.5,11,Electric utilities-western,19,315
649482,Utility,Portland General,Mr. Ken L Harrison,Bakersfield,CA,51,Oregon State U,BS,64,21,Oregon State U,MS,0,1,66,23,19,5,415000,178472,56010,,2673650,0.034,947,89.1,3,Electric utilities-western,19,415
655381,Utility,Puget Sound PowerL,Mr. Richard R Sonstelie,Canada,,49,US Military Aca,BS,66,21,Harvard,MBA,1,1,74,29,20,2,320419,66000,204960,64002,1581200,0.011,1113,138.3,13,Electric utilities-western,19,320.419
1380850,Utility,Pinnacle West Capita,Mr. RichardSnell,Phoenix,AZ,63,Stanford U,BA,52,21,Stanford U,JD,0,1,54,23,4,4,515000,202498,663354,,3277660,0.047,1719,170,9,Electric utilities-western,19,515
678569,Energy,NorAm Energy,Mr. T MiltonHonea Jr,Fulton,AR,61,U of Cal Berkel,BS,55,22,Harvard,MBA,1,1,58,25,10,1,346593,300000,31976,,,0.057,2950,39.9,-16,Energy-integrated gas,12,346.593
691432,Energy,Columbia Gas System,Mr. John H Croom,Fayetteville,NC,61,NC State U,BS,54,21,,none,0,0,,,40,10,652000,,39432,,3724260,0.069,3391,152.2,-3,Energy-integrated gas,12,652
773752,Energy,Enserch,Mr. David W Biegler,San Antonio,TX,47,St Mary's U,BS,68,21,,none,0,0,,,26,1,525000,210000,38752,,,0.027,1902,59.2,-4,Energy-integrated gas,12,525
1263390,Energy,Consolidated Natural,Mr. George A Davidson Jr,Pittsburgh,PA,55,U of Pittsburgh,BS,60,21,,none,0,0,,,28,7,511100,280400,284819,187067,4469670,0.048,3184,188.5,4,Energy-integrated gas,12,511.1
1210250,Energy,Pacific Enterprises,Mr. Willis B Wood Jr,Kansas City,MO,59,U of Tulsa,BS,57,22,,none,0,0,,,33,2,641000,511438,57808,,2570880,0.032,2899,181,-8,Energy-integrated gas,12,641
4004090,Energy,Exxon,Mr. Lee R Raymond,Watertown,SD,55,U of Wisc Madis,BS,60,21,U of Minnesota,PhD,0,1,63,24,31,1,1143330,500000,352567,2.01E+06,,0.006,97825,5280,13,Energy-international oils,12,1143.33
1889680,Energy,Texaco,Mr. Alfred C DeCrane Jr,Cleveland,OH,62,U of Notre Dame,BA,53,21,Georgetown U,JD,0,1,59,27,35,1,875000,807008,67444,140230,,0.044,33245,1068,12,Energy-international oils,12,875
3356250,Energy,Chevron,Mr. Kenneth T Derr,Wilkes-Barre,PA,57,Cornell,BSM,59,22,Cornell,MBA,1,1,60,23,34,5,900000,914000,1542250,,9791540,0.021,32123,1265,15,Energy-international oils,12,900
1116990,Energy,Amoco,Mr. H LauranceFuller,Moline,IL,55,Cornell,BSC,61,22,DePaul U,JD,0,1,65,26,33,3,810655,,306330,,6648030,0.016,25336,1820,10,Energy-international oils,12,810.655
2584440,Energy,Mobil,Mr. Lucio A Noto,Brooklyn,NY,56,U of Notre Dame,BS,58,20,Cornell,MBA,1,1,62,24,32,1,608333,550000,601049,825056,,0.013,56576,2084,14,Energy-international oils,12,608.333
3538890,Energy,Baker Hughes,Mr. James D Woods,Falmouth,KY,62,Cal St Fullerto,BA,67,35,,none,0,0,,,39,7,725000,175000,221293,2.42E+06,9120770,0.174,2642,71.5,3,Energy-oilfield services,12,725
1746010,Energy,Dresser Industries,Mr. John J Murphy,Olean,NY,62,Rochester Tech,AAS,52,20,SMU,MBA,1,1,81,49,42,11,928000,545750,272258,,8642450,0.076,4650,300.6,7,Energy-oilfield services,12,928
,Energy,Western Atlas,Mr. Alton J Brann,Portland,ME,52,U of Massachuse,BA,69,27,,none,0,0,,,21,1,,,,,,0.042,1959,78.2,,Energy-oilfield services,12,
1632340,Energy,Halliburton,Mr. Thomas H Cruikshank,Lake Charles,LA,62,Rice U,BA,52,20,U of Houston,MA,0,1,55,23,25,11,800000,,832344,,7573060,0.083,6351,-161,2,Energy-oilfield services,12,800
7782330,Energy,Burlington Resources,Mr. Thomas H O'Leary,New York,NY,60,Col of the Holy,BA,54,20,U of Pennsylvan,MBA,1,1,61,27,12,5,750000,750000,200494,6.08E+06,19596300,0.088,1249,256.3,2,Energy-other energy,12,750
1013560,Energy,Murphy Oil,Mr. Jack W McNutt,Norphlet,AR,59,Harding U,BS,56,21,Columbia,MS,0,1,57,22,37,6,507500,240000,33595,232466,3514990,0.138,1637,86.8,6,Energy-other energy,12,507.5
2028450,Energy,USX-Marathon,Mr. Charles A Corry,Cincinnati,OH,62,U of Cincinnati,BA,55,23,U of Cincinnati,JD,0,1,59,27,35,5,946667,750000,331785,,8516930,0.025,10035,-6,-15,Energy-other energy,12,946.667
3806940,Energy,Occidental Petroleum,Dr. Ray R Irani,Lebanon,,59,American U Beir,BS,53,18,USC,PhD,0,1,57,22,11,3,1900000,872000,1034940,,18657200,0.192,8116,295,-3,Energy-other energy,12,1900
1201830,Energy,Diamond Shamrock,Mr. Roger R Hemminghaus,St Louis,MO,57,Auburn U,BS,58,21,,none,0,0,,,10,7,486838,275000,216675,223317,4641660,0.324,2555,32.6,8,Energy-other energy,12,486.838
1047200,Energy,Pennzoil,Mr. James L Pate,Mt Sterling,IL,58,Monmouth C,AB,63,27,Indiana U,MBA,1,1,64,28,18,4,592500,385000,69700,,4225590,0.039,2477,160.2,-5,Energy-other energy,12,592.5
1120070,Energy,Sun Co,Mr. Robert H Campbell,Pittsburgh,PA,56,Princeton,BS,59,21,MIT,MBA,1,1,78,40,34,3,498680,474600,146785,,2234390,0.022,7297,283,4,Energy-other energy,12,498.68
2051290,Energy,Tosco,Mr. Thomas D O'Malley,New York,NY,52,Manhattan C,BBA,63,21,,none,0,0,,,6,4,500000,1.53E+06,25286,,6193940,3.549,3559,80.6,10,Energy-other energy,12,500
856166,Energy,Kerr-McGee,Mr. Frank A McPherson,Stillwell,OK,61,Oklahoma State,BS,57,24,,none,0,0,,,37,11,584077,,272089,,5253090,0.114,3281,77.1,2,Energy-other energy,12,584.077
3646680,Energy,Mapco,Mr. James E Barnes,Ponca City,OK,60,Oklahoma State,BS,57,23,,none,0,0,,,11,10,675000,1.29E+06,304971,1.37E+06,18223200,0.684,2567,127,16,Energy-other energy,12,675
582856,Energy,Fina,Mr. Ron W Haddock,St Elmo,IL,53,Purdue U,BS,63,22,,none,0,0,,,8,5,470188,80000,32668,,3386380,0.045,3416,70.4,3,Energy-other energy,12,470.188
1513290,Energy,Unocal,Mr. Richard J Stegemeier,Alton,IL,66,U of Missouri,BS,50,22,Texas AM,MS,0,1,51,23,43,6,850000,255000,408288,,8538970,0.081,7261,343,6,Energy-other energy,12,850
3042680,Energy,Anadarko Petroleum,Mr. Robert J Allison Jr,Evanston,IL,55,U of Kansas,BS,60,21,,none,0,0,,,21,15,750000,675000,219371,1.40E+06,12302800,0.349,476,40,13,Energy-other energy,12,750
998575,Energy,Ultramar,Mr. JeanGaulin,Canada,,51,U of Montreal,BS,67,24,,none,0,0,,,20,5,600000,391500,7075,,2104500,0.112,2438,86.5,44,Energy-other energy,12,600
697228,Energy,Oryx Energy,Mr. Robert P Hauptfuhrer,Philadelphia,PA,62,Princeton,BA,53,21,Harvard,MBA,1,1,57,25,37,6,633360,,63868,,7987980,0.071,1080,-93,-10,Energy-other energy,12,633.36
1287100,Energy,Ashland Oil,Mr. John R Hall,Dallas,TX,61,Vanderbilt U,BS,55,22,,none,0,0,,,36,13,752416,458059,76629,,7224740,0.077,9528,175.9,3,Energy-other energy,12,752.416
728984,Energy,Phillips Petroleum,Mr. Wayne W Allen,Fort Smith,AR,57,Oklahoma State,BSM,59,22,Oklahoma State,MSIE,0,1,69,32,33,1,448250,275235,5499,,,0.011,12309,245,7,Energy-other energy,12,448.25
311792,Energy,Amerada Hess,Mr. LeonHess,Asbury Park,NJ,80,,,,,,none,0,0,,,48,29,300000,,11792,,1554810,10.636,5852,-297.7,5,Energy-other energy,12,300
1968150,Energy,Atlantic Richfield,Mr. Lodwrick M Cook,Castor,LA,65,Louisiana State,BS,50,21,SMU,MBA,1,1,65,36,38,9,1147740,560000,260414,,14874300,0.005,17189,269,6,Energy-other energy,12,1147.74
2066290,Energy,Sonat,Mr. Ronald L Kuehn Jr,Queens,NY,59,Fordham U,BA,57,22,Fordham U,LLB,0,1,64,29,24,10,590000,504600,535690,436000,6698810,0.158,1741,265.1,17,Energy-other gas,12,590
7209090,Energy,Enron,Mr. Kenneth L Lay,Tyrone,MO,52,U of Missouri,BA,64,22,U of Houston,PhD,0,1,70,28,10,10,960000,1.04E+06,2412270,2.80E+06,27021300,0.319,10097,332.5,31,Energy-other gas,12,960
6736920,Energy,Panhandle Eastern,Mr. Dennis R Hendrix,Selmer,TN,54,U of Tenn Knoxv,BS,62,22,Georgia State U,MBA,1,1,67,27,9,4,,,6736920,,9812760,0.365,2121,148.1,6,Energy-other gas,12,
1010150,Energy,UtiliCorp United,Mr. Richard C Green Jr,Kansas City,MO,40,SMU,BSB,76,22,,none,0,0,,,18,9,445000,,565152,,3346210,0.657,1572,86.4,17,Energy-other gas,12,445
888556,Energy,El Paso Natural Gas,Mr. William A Wise,Davenport,IA,48,Vanderbilt U,BA,67,21,U of Colorado,JD,0,1,70,24,24,4,400000,400000,88556,,5290110,0.211,909,91.7,31,Energy-other gas,12,400
1034190,Energy,Coastal Corp,Mr. Oscar S Wyatt Jr,Beaumont,TX,69,Texas AM,BSM,49,24,,none,0,0,,,39,1,896120,,138065,,,3.191,10136,118.3,8,Energy-other gas,12,896.12
2008450,Energy,Nicor,Mr. Richard G Cline,Chicago,IL,59,U of Illinois,BS,57,22,,none,0,0,,,9,8,628846,409575,26412,943613,8800520,0.313,1674,111.7,16,Energy-other gas,12,628.846
1353710,Energy,Williams Cos,Mr. Keith E Bailey,Kansas City,MO,52,U of Missouri,BS,64,22,,none,0,0,,,21,1,450000,283500,591336,28875,,0.077,2438,231.8,14,Energy-other gas,12,450
1407600,Energy,Transco Energy,Mr. John P DesBarres,Northbridge,MA,54,,,,,,none,0,0,,,3,3,513000,275000,619596,,4973080,0.376,2922,-3.9,-13,Energy-other gas,12,513
8833030,Entertainment,Time Warner,Mr. Gerald M Levin,Philadelphia,PA,55,Haverford C,BA,60,21,U of Pennsylvan,LLB,0,1,63,24,15,2,1050000,4.00E+06,3783030,,17514700,0.117,14544,-164,7,Entertainmentinformation-broadcasting,17,1050
2078930,Entertainment,CBS,Mr. Laurence A Tisch,Brooklyn,NY,71,NYU,BS,42,19,U of Pennsylvan,MA,0,1,43,20,8,7,1025070,900000,153864,,8114440,3.014,3510,326.2,13,Entertainmentinformation-broadcasting,17,1025.07
774120,Entertainment,Multimedia,Mr. Walter E Bartlett,Marion,OH,66,Bowling Green S,BBA,49,21,,none,0,0,,,18,9,533676,236000,4444,,17363700,0.577,635,85.5,,Entertainmentinformation-broadcasting,17,533.676
16755600,Entertainment,King World Productio,Mr. MichaelKing,Summit,NJ,46,Fairleigh Dicki,BA,71,23,,none,0,0,,,21,10,950000,1.30E+06,11502,1.45E+07,28655400,5.916,498,102.2,17,Entertainmentinformation-broadcasting,17,950
5245380,Entertainment,BHC Communications,Mr. Herbert J Siegel,Philadelphia,PA,66,Lehigh U,BA,50,22,,none,0,0,,,27,17,884975,3.68E+06,682620,,33741600,18.457,412,224.3,10,Entertainmentinformation-broadcasting,17,884.975
820226,Entertainment,Tele-Communications,Dr. John C Malone,Milford,CT,53,Yale,BS,63,22,Johns Hopkins U,PhD,0,1,67,26,21,21,800000,,20226,,21168500,0.238,4047,12,8,Entertainmentinformation-broadcasting,17,800
401161,Entertainment,Liberty Media,Mr. Peter R Barton,Washington,DC,43,Columbia,BS,71,20,Harvard,MBA,1,1,82,31,4,3,303864,,87286,10011,967188,0.094,841,-0.3,114,Entertainmentinformation-broadcasting,17,303.864
12112000,Entertainment,Comcast,Mr. Ralph J Roberts,New York,NY,74,U of Pennsylvan,BS,41,21,,none,0,0,,,32,31,772958,,4257930,7.08E+06,31947800,8.056,1338,-98.9,15,Entertainmentinformation-broadcasting,17,772.958
,Entertainment,Capital Cities/ABC,Mr. Thomas S Murphy,Brooklyn,NY,68,Cornell,BS,45,19,Harvard,MBA,1,1,49,23,40,1,,,,,,0.665,5674,467.4,13,Entertainmentinformation-broadcasting,17,
893535,Entertainment,Gaylord Entertainmen,Mr. Earl W Wendell,Akron,OH,66,Wooster,BBA,50,22,,none,0,0,,,44,3,599023,248811,45701,,3475490,0.024,623,36.1,36,Entertainmentinformation-broadcasting,17,599.023
15652900,Entertainment,Viacom,Mr. Frank J Biondi Jr,New York,NY,49,Princeton,BA,66,21,Harvard,MBA,1,1,68,23,7,7,922045,1.00E+06,13730800,,21464700,0.149,2005,169.5,9,Entertainmentinformation-broadcasting,17,922.045
1244110,Entertainment,Turner Broadcasting,Mr. Robert E Turner,Cincinnati,OH,55,,,,,,none,0,0,,,31,31,765554,341921,136631,,4402470,45.551,1922,72.4,22,Entertainmentinformation-broadcasting,17,765.554
2656860,Entertainment,Gannett,Mr. John J Curley,Easton,PA,55,Dickinson C,BA,60,21,Columbia,MS,0,1,63,24,24,8,800000,500000,618952,737910,10588900,0.12,3642,397.8,10,Entertainmentinformation-publishing,17,800
2059310,Entertainment,DunBradstreet,Mr. Robert E Weissman,New Haven,CT,54,Babson C,BS,64,24,,none,0,0,,,21,1,674077,591334,793899,,,0.061,4710,428.7,8,Entertainmentinformation-publishing,17,674.077
1505550,Entertainment,Knight-Ridder,Mr. James K Batten,Suffolk,VA,58,Davidson C,BS,57,21,Princeton,MPA,0,1,62,26,37,6,622500,170000,13239,699811,6197580,0.06,2451,148.1,8,Entertainmentinformation-publishing,17,622.5
6247350,Entertainment,American Greetings,Mr. MorryWeiss,Czechoslovakia,,54,Case Western,BA,61,21,,none,0,0,,,33,6,500000,470000,17973,5.26E+06,10735600,1.319,1740,125.4,20,Entertainmentinformation-publishing,17,500
1246560,Entertainment,New York Times,Mr. ArthurOchs Sulzberg,New York,NY,68,Columbia,BA,51,25,,none,0,0,,,43,21,515000,384560,21985,325015,5303620,6.723,2020,6.1,3,Entertainmentinformation-publishing,17,515
1631940,Entertainment,Times Mirror,Mr. Robert F Erburu,Ventura,CA,63,USC,BA,52,21,Harvard,JD,0,1,55,24,33,13,875001,300000,456935,,6933120,0.215,3714,317.2,1,Entertainmentinformation-publishing,17,875.001
3501910,Entertainment,Reader's Digest Asso,Mr. George V Grune,White Plains,NY,64,Duke U,AB,52,22,,none,0,0,,,34,10,822693,500000,2179220,,22576700,0.24,2821,271.9,18,Entertainmentinformation-publishing,17,822.693
1561980,Entertainment,Dow Jones,Mr. Peter R Kann,Princeton,NJ,51,Harvard,BA,64,21,,none,0,0,,,31,3,605000,370000,564115,22868,4329430,0.115,1932,147.5,6,Entertainmentinformation-publishing,17,605
573803,Entertainment,Washington Post,Mr. Donald E Graham,Baltimore,MD,49,Harvard,BA,66,21,,none,0,0,,,23,3,399996,,173807,,2297680,13.071,1498,153.8,4,Entertainmentinformation-publishing,17,399.996
1472900,Entertainment,RR DonnelleySons,Mr. John R Walter,Pittsburgh,PA,47,Miami U Ohio,BS,69,22,,none,0,0,,,25,5,800000,499481,39766,133650,5169420,0.11,4388,178.9,11,Entertainmentinformation-publishing,17,800
1222480,Entertainment,Tribune,Mr. Charles T Brumback,Toledo,OH,65,Princeton,BA,50,21,,none,0,0,,,37,4,690327,485000,47152,,6852920,0.188,1953,188.6,8,Entertainmentinformation-publishing,17,690.327
2062810,Entertainment,McGraw-Hill,Mr. Joseph L Dionne,Montgomery,AL,60,Hofstra U,BA,55,21,Columbia,EdD,0,1,65,31,28,11,750000,669008,614551,29250,8869310,0.22,2195,11.4,3,Entertainmentinformation-publishing,17,750
6389490,Entertainment,Harcourt General,Mr. Robert J Tarr Jr,Freeport,NY,50,US Naval Acad,BS,66,22,Harvard,MBA,1,1,73,29,18,2,1250000,937500,3067120,1.13E+06,10528000,0.382,3681,158.6,9,Entertainmentinformation-publishing,17,1250
1114580,Entertainment,EW Scripps,Mr. Lawrence A Leser,Cincinnati,OH,59,Xavier U,BS,57,22,,none,0,0,,,26,9,630000,250000,234578,,5517900,0.059,1206,128.7,8,Entertainmentinformation-publishing,17,630
250000,Entertainment,Marvel Entertainment,Mr. William C Bevins Jr,,,47,,,,,,none,0,0,,,3,3,250000,,,,625000,0.164,415,56,120,Entertainmentinformation-publishing,17,250
5095700,Financial,Morgan Stanley Group,Mr. Richard B Fisher,Philadelphia,PA,57,Princeton,BA,57,20,Harvard,MBA,1,1,62,25,32,3,475000,2.86E+06,1758200,,15475000,3.212,9176,786.1,18,Financial services-brokerage,1,475
3409250,Financial,Alex Brown,Mr. Alvin B Krongard,Baltimore,MD,58,Princeton,AB,58,22,U of Maryland,JD,0,1,75,39,23,3,200000,2.72E+06,323398,162499,7023870,1.751,628,89.2,21,Financial services-brokerage,1,200
1437240,Financial,AG Edwards,Mr. Benjamin F Edwards II,St Louis,MO,62,Princeton,BA,53,21,,none,0,0,,,38,27,351840,898127,187274,,5066720,0.572,1262,151.2,21,Financial services-brokerage,1,351.84
8125370,Financial,Merrill Lynch,Mr. Daniel P Tully,New York,NY,62,St John's U NY,BA,53,21,,none,0,0,,,38,2,500000,6.20E+06,1425370,,26552600,0.248,16588,1394.4,25,Financial services-brokerage,1,500
1356070,Financial,Salomon,Mr. Robert E Denham,Dallas,TX,48,U of Texas Aust,BA,66,20,Harvard,JD,0,1,71,25,3,2,956800,368700,30567,,,0.024,8799,864,16,Financial services-brokerage,1,956.8
